Gene	mirnaTG
ENSG00000270906.1	no
ENSG00000268836.1	no
ENSG00000234080.3	no
ENSG00000261594.4	no
ENSG00000267523.1	no
ENSG00000249780.1	no
ENSG00000274383.1	no
ENSG00000253605.1	no
ENSG00000230084.8	no
ENSG00000198886.2	no
ENSG00000249119.1	no
ENSG00000198899.2	yes
ENSG00000146414.17	no
ENSG00000198763.3	no
ENSG00000135913.11	no
ENSG00000178502.6	yes
ENSG00000198146.4	no
ENSG00000156875.14	no
ENSG00000106803.10	yes
ENSG00000077312.9	no
ENSG00000279759.1	no
ENSG00000198888.2	no
ENSG00000132405.19	no
ENSG00000115464.15	yes
ENSG00000228253.1	no
ENSG00000177105.10	no
ENSG00000198840.2	no
ENSG00000111642.16	no
ENSG00000105856.14	no
ENSG00000280063.1	no
ENSG00000236565.3	no
ENSG00000244161.1	no
ENSG00000166439.6	no
ENSG00000110344.10	no
ENSG00000278864.1	no
ENSG00000263001.8	yes
ENSG00000198712.1	no
ENSG00000140382.15	yes
ENSG00000173166.18	no
ENSG00000143970.18	no
ENSG00000166046.11	no
ENSG00000237004.4	no
ENSG00000114742.14	no
ENSG00000177463.16	yes
ENSG00000136942.15	no
ENSG00000004700.16	no
ENSG00000015479.20	yes
ENSG00000198727.2	no
ENSG00000237804.1	no
ENSG00000115760.16	yes
ENSG00000116539.14	yes
ENSG00000181817.6	no
ENSG00000138688.17	no
ENSG00000136938.9	no
ENSG00000038219.13	no
ENSG00000289043.1	no
ENSG00000103657.14	no
ENSG00000198938.2	no
ENSG00000185722.18	no
ENSG00000176994.11	no
ENSG00000070366.14	no
ENSG00000197779.15	no
ENSG00000289443.1	no
ENSG00000127481.15	yes
ENSG00000108107.15	no
ENSG00000175334.8	no
ENSG00000001630.18	yes
ENSG00000267904.1	no
ENSG00000146066.3	no
ENSG00000185278.16	no
ENSG00000160446.19	no
ENSG00000136925.15	no
ENSG00000280927.1	no
ENSG00000171466.10	no
ENSG00000125107.19	yes
ENSG00000102908.23	yes
ENSG00000255423.1	no
ENSG00000142669.15	no
ENSG00000149806.11	no
ENSG00000131143.10	no
ENSG00000204435.15	no
ENSG00000008869.12	no
ENSG00000023516.9	yes
ENSG00000225518.3	no
ENSG00000100852.14	yes
ENSG00000123144.11	no
ENSG00000116747.13	yes
ENSG00000279159.1	no
ENSG00000120948.19	no
ENSG00000157106.18	yes
ENSG00000271533.1	no
ENSG00000128585.18	yes
ENSG00000071794.16	no
ENSG00000259366.3	no
ENSG00000246859.3	no
ENSG00000102119.12	no
ENSG00000204564.12	no
ENSG00000175193.14	no
ENSG00000280067.1	no
ENSG00000157999.6	no
ENSG00000119421.7	no
ENSG00000114857.19	no
ENSG00000162924.16	no
ENSG00000127914.19	yes
ENSG00000159140.23	no
ENSG00000011405.14	yes
ENSG00000185164.15	no
ENSG00000118007.13	no
ENSG00000198690.10	no
ENSG00000198862.14	yes
ENSG00000103994.18	no
ENSG00000113712.19	no
ENSG00000121454.6	no
ENSG00000157450.16	no
ENSG00000136810.13	yes
ENSG00000253341.1	no
ENSG00000272037.1	no
ENSG00000163625.17	yes
ENSG00000189144.15	no
ENSG00000248527.1	no
ENSG00000066084.13	yes
ENSG00000236456.1	no
ENSG00000214160.10	no
ENSG00000085224.23	yes
ENSG00000105723.13	no
ENSG00000269825.3	no
ENSG00000157778.9	no
ENSG00000176986.16	yes
ENSG00000116580.20	no
ENSG00000253710.5	no
ENSG00000156411.10	no
ENSG00000168802.14	no
ENSG00000198677.13	no
ENSG00000168653.11	no
ENSG00000163191.6	no
ENSG00000139436.22	yes
ENSG00000198804.2	no
ENSG00000188419.14	no
ENSG00000240682.10	no
ENSG00000066933.17	no
ENSG00000258682.1	no
ENSG00000257851.2	no
ENSG00000128524.5	no
ENSG00000280039.1	no
ENSG00000140264.22	yes
ENSG00000230551.4	no
ENSG00000107223.13	no
ENSG00000140396.13	yes
ENSG00000229152.2	no
ENSG00000160218.13	yes
ENSG00000092439.16	no
ENSG00000172869.15	yes
ENSG00000196914.9	yes
ENSG00000138802.11	no
ENSG00000135837.17	yes
ENSG00000197429.11	no
ENSG00000100450.13	no
ENSG00000154146.13	no
ENSG00000177311.12	yes
ENSG00000176973.8	no
ENSG00000280347.1	no
ENSG00000183648.11	no
ENSG00000135317.14	no
